Variables,Model_1,Model_2,Model_3,Model_4,Model_5,Model_6,Model_7,Model_8
Age (years),0.04054,0.04037,0.03851,0.03836,0.04045,0.03563,0.03812,0.03659
Female,-0.44658,-0.55148,-0.34439,-0.42336,-0.47292,-0.40813,-0.26197,-0.2922
NYHA Class,0.63749,0.5537,0.5662,0.54239,0.51952,0.51716,0.51325,0.51188
Ejection fraction (%),-0.37702,0,0,0,0,0,0,0
Sodium (mmol/L),-0.06251,-0.05737,-0.04519,-0.04592,-0.04719,-0.046,-0.03523,-0.03672
eGFR in mL/min/1.73m²,-0.01001,0,,-0.01088,0,0,0,0
Hemoglobin (g/dL),-0.12002,-0.1156,-0.09213,-0.12581,-0.12687,-0.08841,-0.10332,-0.09665
Furosemide Dose 1,0.22825,0.27624,0,0.21859,0.27823,0.19246,0,0
Furosemide Dose 2,0.5639,0.64405,0,0.47031,0.54724,0.48348,0,0
Statin,-0.46052,-0.37624,-0.42331,-0.38763,-0.35694,-0.41989,-0.41691,-0.39753
ACEi/ARB,-0.40481,0,-0.31261,0,0,0,0,0
Betablockers,-0.58605,-0.58492,-0.48259,-0.47811,-0.56117,-0.51714,-0.45971,-0.5118
log(NT-proBNP in pg/mL),0,0.29549,0,0,0.2451,0.17359,0,0.11586
log(hs-cTnT in ng/L),0,0,1.48105,0,0,1.17561,1.46983,1.36975
Squared log(hs-cTnT in ng/L),0,0,-0.14121,0,0,-0.11488,-0.14633,-0.14453
ST2_div_10,0,0,0,0.24111,0.22141,0,0.24668,0.23017
Squared ST2_div_10,0,0,0,-0.00842,-0.00883,0,-0.00937,-0.00898
